,x,y,coords,geometry,net,name,vn_kv,type,zone,in_service,min_vm_pu,max_vm_pu,consumer_bus,plz
0,10.874476000000001,49.139124696670784,,POINT (10.874476000000001 49.139124696670784),0,LVbus 1,0.4,n,,True,0.95,1.05,False,91720
1,10.874476000000001,49.13927469667078,,POINT (10.874476000000001 49.13927469667078),0,MVbus 1,20.0,n,,True,0.95,1.05,False,91720
2,10.874476000000001,49.139124696670784,,POINT (10.874476000000001 49.139124696670784),0,Connection Nodebus 2250,0.4,n,,True,0.95,1.05,False,91720
3,10.874554683289503,49.139123963556415,,POINT (10.874554683289503 49.139123963556415),0,Connection Nodebus 2251,0.4,n,,True,0.95,1.05,False,91720
4,10.872973145775232,49.13891161333834,,POINT (10.872973145775232 49.13891161333834),0,Connection Nodebus 612,0.4,n,,True,0.95,1.05,False,91720
5,10.87430489824844,49.137130862935734,,POINT (10.87430489824844 49.137130862935734),0,Connection Nodebus 1401,0.4,n,,True,0.95,1.05,False,91720
6,10.874656989022908,49.13710341201631,,POINT (10.874656989022908 49.13710341201631),0,Connection Nodebus 1407,0.4,n,,True,0.95,1.05,False,91720
7,10.873337367039806,49.138333374210475,,POINT (10.873337367039806 49.138333374210475),0,Connection Nodebus 1525,0.4,n,,True,0.95,1.05,False,91720
8,10.873829300000004,49.138692296670655,,POINT (10.873829300000004 49.138692296670655),0,Connection Nodebus 1415,0.4,n,,True,0.95,1.05,False,91720
9,10.874144899999997,49.137129396670204,,POINT (10.874144899999997 49.137129396670204),0,Connection Nodebus 1438,0.4,n,,True,0.95,1.05,False,91720
10,10.874066799999998,49.137260196670255,,POINT (10.874066799999998 49.137260196670255),0,Connection Nodebus 1433,0.4,n,,True,0.95,1.05,False,91720
11,10.872855150014743,49.138975143356376,,POINT (10.872855150014743 49.138975143356376),0,Consumer Nodebus 611,0.4,n,SFH,True,0.95,1.05,True,91720
12,10.874303728877766,49.137185018534325,,POINT (10.874303728877766 49.137185018534325),0,Consumer Nodebus 1400,0.4,n,SFH,True,0.95,1.05,True,91720
13,10.874648010125084,49.13714027105641,,POINT (10.874648010125084 49.13714027105641),0,Consumer Nodebus 1406,0.4,n,SFH,True,0.95,1.05,True,91720
14,10.873761649993863,49.13874019337274,,POINT (10.873761649993863 49.13874019337274),0,Consumer Nodebus 1414,0.4,n,SFH,True,0.95,1.05,True,91720
15,10.873925667026102,49.13730509414484,,POINT (10.873925667026102 49.13730509414484),0,Consumer Nodebus 1432,0.4,n,SFH,True,0.95,1.05,True,91720
16,10.874088424941663,49.13707963918224,,POINT (10.874088424941663 49.13707963918224),0,Consumer Nodebus 1437,0.4,n,SFH,True,0.95,1.05,True,91720
