,coords,geometry,net,name,std_type,from_bus,to_bus,length_km,r_ohm_per_km,x_ohm_per_km,c_nf_per_km,g_us_per_km,max_i_ka,df,parallel,type,in_service,plz
0,"[[11.600020107463695, 48.13423214363496], [11.599941730921755, 48.13409843355908]]","LINESTRING (11.600020107463695 48.13423214363496, 11.599941730921755 48.13409843355908)",0,Line to 19,NYY 4x16 SE,2,8,0.015968739612167,1.15,0.09,0.0,0.0,0.103,1.0,1,,True,81675
1,"[[11.600674154593735, 48.13460796867504], [11.600587190306198, 48.134624135069]]","LINESTRING (11.600674154593735 48.13460796867504, 11.600587190306198 48.134624135069)",0,Line to 1298,NYY 4x16 SE,7,10,0.006719516977416,1.15,0.09,0.0,0.0,0.103,1.0,1,,True,81675
2,"[[11.600543354155043, 48.134309798203404], [11.600300091322513, 48.13435890036898]]","LINESTRING (11.600543354155043 48.134309798203404, 11.600300091322513 48.13435890036898)",0,Line to 2249,NYY 4x16 SE,6,11,0.018916075921289,1.15,0.09,0.0,0.0,0.103,1.0,1,,True,81675
3,"[[11.600543354155043, 48.134309798203404], [11.600638700000005, 48.134522196381006], [11.600674154593735, 48.13460796867504]]","LINESTRING (11.600543354155043 48.134309798203404, 11.600638700000005 48.134522196381006, 11.600674154593735 48.13460796867504)",0,Line to 513,NYY 4x35 SE,6,7,0.034547736369067,0.524,0.085,0.0,0.0,0.159,1.0,1,,True,81675
4,"[[11.600020107463695, 48.13423214363496], [11.600217348801008, 48.13418018040966], [11.600456799999995, 48.13411709638094], [11.600477499999998, 48.1341630963809], [11.600543354155043, 48.134309798203404]]","LINESTRING (11.600020107463695 48.13423214363496, 11.600217348801008 48.13418018040966, 11.600456799999995 48.13411709638094, 11.600477499999998 48.1341630963809, 11.600543354155043 48.134309798203404)",0,Line to 2250,NYY 4x35 SE,2,6,0.057305182195624,0.524,0.085,0.0,0.0,0.159,1.0,1,,True,81675
5,"[[11.600020107463695, 48.13423214363496], [11.600020107463695, 48.13423214363496]]","LINESTRING (11.600020107463695 48.13423214363496, 11.600020107463695 48.13423214363496)",0,Line to 20,NYY 4x35 SE,0,2,0.0,0.524,0.085,0.0,0.0,0.159,1.0,1,,True,81675
6,"[[11.5995067, 48.13437529638103], [11.599577590806987, 48.13455499773612]]","LINESTRING (11.5995067 48.13437529638103, 11.599577590806987 48.13455499773612)",0,Line to 2565,NYY 4x16 SE,5,12,0.021294676361261,1.15,0.09,0.0,0.0,0.103,1.0,1,,True,81675
7,"[[11.600025107463695, 48.13423214363496], [11.600025107463695, 48.13423714363496], [11.5998317, 48.13428809638095], [11.599544500000004, 48.134363696380994], [11.5995067, 48.13437529638103]]","LINESTRING (11.600025107463695 48.13423214363496, 11.600025107463695 48.13423714363496, 11.5998317 48.13428809638095, 11.599544500000004 48.134363696380994, 11.5995067 48.13437529638103)",0,Line to 548,NYY 4x16 SE,0,5,0.041541703845336,1.15,0.09,0.0,0.0,0.103,1.0,1,,True,81675
8,"[[11.599954385374616, 48.13445415473371], [11.600099508457353, 48.134393207662946]]","LINESTRING (11.599954385374616 48.13445415473371, 11.600099508457353 48.134393207662946)",0,Line to 2605,NYY 4x16 SE,4,13,0.012861721737101,1.15,0.09,0.0,0.0,0.103,1.0,1,,True,81675
9,"[[11.600030107463695, 48.13423214363496], [11.600030107463695, 48.134242143634964], [11.5998367, 48.13429309638095], [11.599954385374616, 48.13445415473371]]","LINESTRING (11.600030107463695 48.13423214363496, 11.600030107463695 48.134242143634964, 11.5998367 48.13429309638095, 11.599954385374616 48.13445415473371)",0,Line to 2606,NYY 4x16 SE,0,4,0.035407402027594,1.15,0.09,0.0,0.0,0.103,1.0,1,,True,81675
10,"[[11.59976023201384, 48.134319541395314], [11.599660363047835, 48.13415963619879]]","LINESTRING (11.59976023201384 48.134319541395314, 11.599660363047835 48.13415963619879)",0,Line to 1222,NYY 4x16 SE,3,9,0.017303846624665,1.15,0.09,0.0,0.0,0.103,1.0,1,,True,81675
11,"[[11.600035107463695, 48.13423214363496], [11.600035107463695, 48.13424714363496], [11.599841699999999, 48.134298096380945], [11.59976023201384, 48.134319541395314]]","LINESTRING (11.600035107463695 48.13423214363496, 11.600035107463695 48.13424714363496, 11.599841699999999 48.134298096380945, 11.59976023201384 48.134319541395314)",0,Line to 1223,NYY 4x16 SE,0,3,0.021989484953087,1.15,0.09,0.0,0.0,0.103,1.0,1,,True,81675
