t,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,1.86,3.51,0,0,0,2.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.4,0,0,0,0,0,0,0,1.76,0,0,0,0,0,0,0,0,0,0,0,0,0,8.4,10.1,0,0,0,0,0,0,0,0,0,0
3,0,2.46,4.67,15.35,0,2.64,3.83,5.05,4.07,2.84,6.1,0,0,0,15.35,3.2,0,0,6.95,3.81,5.12,0,0,1.59,13.81,1.92,0,4.11,6.37,4.46,5.29,0,2.23,0,6.26,0,0,15.35,3.56,4.24,2.48,0,6.99,7,0,2.69,11.19,13.53,0,3.85,0,0,0,14.97,10.98,2.05,0,0
4,10.38,2.59,4.92,6.14,6.25,3.23,3.9,6.56,1.63,3.53,7.82,2.05,7.22,0,6.14,1.28,4.75,4.99,8.76,1.53,6.72,7.83,0,2.11,14.89,2.45,1.61,5.36,2.55,5.89,2.12,13.12,2.4,5.39,8.16,8.93,5.97,6.14,4.69,5.66,0.99,0,2.8,2.8,10.69,3.62,12.05,14.59,0,5.2,0,0,2.68,19.82,4.39,2.7,1.65,0
5,13.72,2.74,5.22,2.46,2.5,3.75,4.13,7.23,0.66,3.8,8.48,0.82,9.54,10.73,2.46,0.52,1.9,6.68,9.66,0.61,7.33,10.29,0,2.32,15.72,0.98,0.65,2.15,7.16,2.36,0.85,17.34,2.47,7.21,9.1,3.57,7.84,2.46,5.22,6.22,2.74,14.8,1.12,7.65,4.28,3.99,12.69,15.12,5.52,5.72,6.15,0,3.55,21.99,12.35,3.04,2.18,0
6,14.71,2.82,5.01,15.69,7.06,3.78,4.24,7.52,0.27,4.02,8.87,0.33,10.28,14.06,15.69,3.28,5.43,7.26,9.96,3.95,7.61,11.07,0,2.41,15.83,2.27,1.85,4.86,8.44,5.22,5.2,18.68,2.51,7.93,9.5,1.43,8.47,15.69,5.35,6.37,1.1,19.43,6.88,9.3,1.71,4.15,12.72,15.4,2.21,2.29,8.21,8.19,3.89,22.64,14.92,3.08,0.88,0
7,15.34,2.86,2.01,19.79,8.31,3.71,4.2,7.76,4.07,4.12,9.06,2.12,10.6,15.32,19.79,4.14,6.42,7.52,10.22,5.06,7.85,11.52,5.7,2.54,15.96,2.66,2.21,5.71,8.95,6.1,6.59,19.23,2.64,8.33,9.5,9.34,8.74,19.79,5.52,6.46,2.72,21.02,8.78,9.92,10.9,4.23,12.79,15.59,6.33,4.69,9.22,10.88,4.03,23.07,15.85,3.12,1.97,0
8,15.74,2.58,0.81,21.52,8.91,3.9,4.41,7.78,5.28,4.28,9.28,2.61,10.87,16.05,21.52,4.58,7.02,7.65,10.46,5.5,8.07,11.93,7.8,2.07,14,2.92,2.36,6.05,9.28,6.55,7.21,19.51,2.7,8.51,9.63,11.95,9.08,21.52,5.52,6.52,3.22,21.86,9.51,10.19,14.08,4.28,11.62,15.93,7.74,1.88,9.63,12.05,4.19,23.32,16.37,3.24,2.3,0
9,14.28,1.03,2.96,19.12,7.96,3.47,3.99,7.01,5.06,3.71,8.09,2.5,9.8,14.96,19.12,4.53,6.12,7,9.21,4.95,7.19,10.64,7.59,0.83,11.82,2.64,2.06,5.83,8.71,6.15,6.95,18.83,2.2,7.86,8.25,11.16,7.78,19.12,5.05,5.5,3.18,20.03,9.18,9.77,14.15,2.96,4.65,14.86,7.32,4.05,8.71,9.58,3.93,18.85,14.84,3,0.92,0
10,13.81,0.42,3.8,17.3,7.66,3.17,1.6,6.55,4.84,3.33,7.6,2.42,9.27,14.45,17.3,4.4,5.28,6.45,8.59,4.73,7.05,10.23,7.25,0.34,4.73,2.52,1.84,5.58,8.53,5.69,6.9,18.73,0.88,7.34,6.81,10.18,6.97,17.3,4.76,3.87,1.28,18.63,9.03,9.52,13.99,1.19,1.86,12.94,6.7,4.84,7.98,8.36,3.77,16.44,13.87,2.92,1.64,0
