urbs_name,building_id
loadbus_1_1,56
loadbus_1_2,134
loadbus_1_3,71
loadbus_1_4,202
loadbus_1_5,107
loadbus_1_6,99
loadbus_1_7,100
loadbus_1_8,200
loadbus_1_9,247
loadbus_2_1,169
loadbus_2_2,55
loadbus_2_3,195
loadbus_2_4,168
loadbus_2_5,60
loadbus_2_6,177
loadbus_2_7,64
loadbus_2_8,223
loadbus_2_9,127
loadbus_3_1,172
loadbus_3_2,138
loadbus_3_3,76
loadbus_3_4,173
loadbus_3_5,12
loadbus_3_6,126
loadbus_3_7,199
loadbus_3_8,98
loadbus_3_9,222
loadbus_3_10,160
loadbus_3_11,102
loadbus_3_12,73
loadbus_3_13,10
loadbus_3_14,2
loadbus_3_15,101
loadbus_3_16,77
loadbus_4_1,109
loadbus_4_2,218
loadbus_4_3,26
loadbus_4_4,176
loadbus_4_5,43
loadbus_4_6,231
loadbus_4_7,52
loadbus_4_8,29
loadbus_4_9,21
loadbus_4_10,7
loadbus_4_11,79
loadbus_4_12,216
loadbus_5_1,167
loadbus_5_2,80
loadbus_5_3,194
loadbus_5_4,89
loadbus_5_5,197
loadbus_5_6,146
loadbus_5_7,48
loadbus_6_1,84
loadbus_6_2,174
loadbus_6_3,19
loadbus_6_4,196
