bid,footprint_area,PV_cap_kW,use,free_walls,lat,lon,dist_to_heat_source,year_class,size_class,floors,storey_area,area_corr_factor,heated_area,window_area,dwellings,dwelling_size,occupants,ref_level_roof,ref_level_wall,ref_level_floor,ref_level_window,U,V,C,Tau,Tset,act_start,act_end,hw_demand_day,hw_tank_cap,,,,,,,,,,,
1,130.65,13.065,3,4,48.201,11.506,0,0,0,3,391.96,0.84,329.25,36.97,1,329.25,3,1,2,2,2,610.29,55.97,57055060.88,85634.68,22,0,23,0.14,0.22,,,,,,,,,,,
2,156.78,15.678,3,4,48.201,11.506,0,0,0,3,470.35,0.84,395.1,44.36,1,395.1,5,1,1,2,1,1217.64,67.17,68466073.05,53288.85,22,0,23,0.2,0.3,,,,,,,,,,,
3,188.14,18.814,3,4,48.201,11.506,0,0,0,3,564.42,0.84,474.11,53.23,1,474.11,2,1,1,2,2,1397.29,80.6,82159287.66,55592.22,19,0,23,0.12,0.18,,,,,,,,,,,
4,150.51,15.051,3,4,48.201,11.506,0,0,0,3,451.54,0.84,379.29,42.59,1,379.29,2,1,1,1,1,1321.29,64.48,65727430.15,47430.37,20,0,23,0.26,0.39,,,,,,,,,,,
5,120.41,12.041,3,4,48.201,11.506,0,0,0,3,361.23,0.84,303.43,34.07,1,303.43,1,2,1,2,1,587.48,51.58,52581944.09,82280.09,22,0,23,0.13,0.19,,,,,,,,,,,
6,144.49,14.449,3,4,48.201,11.506,0,0,0,3,433.48,0.84,364.12,40.88,1,364.12,1,2,2,1,2,403.98,61.9,63098332.95,135439.77,21,0,23,0.07,0.11,,,,,,,,,,,
7,109.65,10.965,3,4,48.201,11.506,0,1,0,2,219.31,0.84,184.22,26.23,2,92.11,2,1,1,2,1,601.85,46.98,43848604.04,67581.56,21,0,23,0.19,0.28,,,,,,,,,,,
8,101.81,10.181,3,4,48.213,11.547,0,1,0,2,203.61,0.84,171.03,24.36,1,171.03,1,2,1,1,2,474.01,43.61,40710914.08,78649.97,19,0,23,0.14,0.21,,,,,,,,,,,
9,107.17,10.717,3,4,48.222,11.505,0,1,0,2,214.33,0.84,180.04,25.64,1,180.04,1,1,2,1,1,291.36,45.91,42854690.68,127064.65,22,0,23,0.04,0.05,,,,,,,,,,,
10,93.6,9.36,3,4,48.197,11.549,0,1,0,2,187.21,0.84,157.25,22.39,2,78.63,2,2,1,2,1,439.49,40.1,37430577.11,78047,21,0,23,0.07,0.11,,,,,,,,,,,
11,121.39,12.139,3,4,48.199,11.526,0,1,0,2,242.77,0.84,203.93,29.04,2,101.97,6,2,2,2,2,168.78,52,48541027.99,219863.16,20,0,23,0.17,0.25,,,,,,,,,,,
12,208.58,20.858,3,4,48.215,11.534,0,1,0,2,417.15,0.84,350.41,49.9,2,175.2,5,2,2,2,1,349.88,89.35,83406558.66,189890.6,22,0,23,0.13,0.19,,,,,,,,,,,
13,172.38,17.238,3,4,48.208,11.56,0,1,0,2,344.76,0.84,289.6,41.24,2,144.8,2,1,1,1,1,988.85,73.85,68931939.65,64865.09,18,0,23,0.33,0.5,,,,,,,,,,,
14,93.85,9.385,3,4,48.221,11.519,0,1,0,2,187.69,0.84,157.66,22.45,2,78.83,10,2,2,1,2,153.74,40.2,37527794.87,193499.92,18,0,23,0.07,0.1,,,,,,,,,,,
15,161.89,16.189,3,4,48.214,11.531,0,1,1,2,323.78,0.84,271.98,41.02,1,271.98,1,2,1,2,1,486.21,69.35,50102878.94,90184.53,20,0,23,0.25,0.37,,,,,,,,,,,
16,161.89,16.189,3,4,48.214,11.531,0,1,1,2,323.78,0.84,271.98,41.02,1,271.98,1,1,1,2,1,562.36,69.35,50102878.94,79312.69,19,0,23,0.2,0.3,,,,,,,,,,,
17,161.89,16.189,3,4,48.214,11.531,0,1,1,2,323.78,0.84,271.98,41.02,1,271.98,2,1,1,1,1,562.36,69.35,50102878.94,79312.69,22,0,23,0.15,0.22,,,,,,,,,,,
18,142.4,14.24,3,4,48.202,11.538,0,1,1,2,284.8,0.84,239.23,36.08,2,119.62,2,1,1,1,1,494.65,61,44070505.23,79312.69,22,0,23,0.16,0.24,,,,,,,,,,,
19,63.01,6.301,3,4,48.204,11.538,0,1,1,2,126.03,0.84,105.86,15.97,1,105.86,1,2,1,1,2,171.68,27,19501742.91,98157.42,19,0,23,0.06,0.09,,,,,,,,,,,
20,161.89,16.189,3,4,48.214,11.531,0,1,1,2,323.78,0.84,271.98,41.02,1,271.98,2,1,1,1,1,562.36,69.35,50102878.94,79312.69,20,0,23,0.16,0.25,,,,,,,,,,,
