Process,Commodity,Direction,ratio,ratio-min
import,electricity_import,In,1,
import,electricity,Out,1,
import_hp,electricity_hp_import,In,1,
import_hp,electricity_hp,Out,1,
feed_in,electricity,In,1,
feed_in,electricity_feed_in,Out,1,
Slack,electricity,Out,1,
Slack,electricity,In,0,
Rooftop PV,solar,In,1,
Rooftop PV,electricity,Out,1,
Heat_dummy_space,common_heat,In,1,
Heat_dummy_space,space_heat,Out,1,
Heat_dummy_water,common_heat,In,1,
Heat_dummy_water,water_heat,Out,1,
heatpump_air,electricity-reactive,In,0.328684105,
heatpump_air,electricity,In,1,
heatpump_air,common_heat,Out,1,
heatpump_air_heizstrom,electricity-reactive,In,0.328684105,
heatpump_air_heizstrom,electricity_hp_usable,In,1,
heatpump_air_heizstrom,common_heat,Out,1,
curtailment,electricity,In,1,
Q_feeder_central,electricity-reactive,Out,1,
Slack_heat,common_heat,Out,1,
elec_hp_to_usable,electricity_hp,In,1,
elec_hp_to_usable,electricity_hp_usable,Out,1,
charging_station,electricity,In,1,
charging_station,mobility,Out,1,
